Audit_Order,Source_Domain,Source_Row_Number,Source_L4_ID,Source_L4_Title_ko,Human_Review_Comment,Literal_Requirement,Intended_L3_Boundary,Intended_Harm_Mechanism,Final_Implementation,Fidelity_Status,Divergence_Type,Reviewer_Conflict,Evidence_and_Reason,New_Duplication_Scope_or_Term_Issues,Required_Correction,Overall_Conclusion
127,Agentic,77,A_SYS_GOAL_015,에이전트형 LLM 자율성 확대의 안전,Agentic - Excessive Authority and Agency 로 이관,지목된 L3 또는 도메인으로 이관,A_SYS_GOAL,에이전트형 LLM 자율성 확대의 안전의 현재 위해 기제를 유지,L3_REASSIGN_APPLIED; A_SYS_AUTH_018 [A_SYS_AUTH] 에이전트형 LLM 자율성 확대의 안전,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
128,Agentic,79,A_SYS_GOAL_017,종료·수정 저항을 통한 자기 보존 성향,Agentic - Excessive Authority and Agency 로 이관,지목된 L3 또는 도메인으로 이관,A_SYS_GOAL,종료·수정 저항을 통한 자기 보존 성향의 현재 위해 기제를 유지,L3_REASSIGN_APPLIED; A_SYS_AUTH_019 [A_SYS_AUTH] 종료·수정 저항을 통한 자기 보존 성향,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
129,Agentic,82,A_SYS_SELFCOR_001,에이전트의 종료·교정 저항,Agentic - Excessive Authority and Agency 로 이관,지목된 L3 또는 도메인으로 이관,A_SYS_SELFCOR,에이전트의 종료·교정 저항의 현재 위해 기제를 유지,L3_REASSIGN_APPLIED; A_SYS_AUTH_020 [A_SYS_AUTH] 에이전트의 종료·교정 저항,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
130,Agentic,83,A_SYS_SELFCOR_002,에이전트 위험 인식 실패,General AI - Context-Awareness Failure로 이관,지목된 L3 또는 도메인으로 이관,A_SYS_SELFCOR,에이전트 위험 인식 실패의 현재 위해 기제를 유지,L3_REASSIGN_APPLIED; G_SYS_CONTEXT_007 [G_SYS_CONTEXT] 에이전트 위험 인식 실패,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
131,Agentic,85,A_SYS_SELFCOR_004,감독 회피·수정 저항,Agentic - Excessive Authority and Agency 로 이관,지목된 L3 또는 도메인으로 이관,A_SYS_SELFCOR,감독 회피·수정 저항의 현재 위해 기제를 유지,L3_REASSIGN_APPLIED; A_SYS_AUTH_021 [A_SYS_AUTH] 감독 회피·수정 저항,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
132,Agentic,86,A_SYS_SELFCOR_005,위험 소스 귀인 실패,Agentic AI - Accountability and Traceability Gap로 이관,지목된 L3 또는 도메인으로 이관,A_SYS_SELFCOR,위험 소스 귀인 실패의 현재 위해 기제를 유지,L3_REASSIGN_APPLIED; A_SYS_TRACE_001 [A_SYS_TRACE] 위험 소스 귀인 실패,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
133,Agentic,90,A_SYS_TRACE_003,AI 시스템의 결정과 실패에 대한 책임 공백,general - Governance and Accountability Void 로 이관,지목된 L3 또는 도메인으로 이관,G_SOC_GOV,지정 범위(G_SOC_GOV)의 위해 기제로 이동,L3_REASSIGN_APPLIED; G_SOC_GOV_022 [G_SOC_GOV] AI 시스템의 결정과 실패에 대한 책임 공백,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
134,Physical,2,P_INT_SAFETY_001,보조 로봇 개입 타이밍 실패,(유지),카드 유지,P_INT_SAFETY,보조 로봇 개입 타이밍 실패의 현재 위해 기제를 유지,KEEP_CONFIRMED; P_INT_SAFETY_001 [P_INT_SAFETY] 보조 로봇 개입 타이밍 실패,PASS,없음,없음,명시적 유지 요청에 따라 카드와 L3를 유지했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
135,Physical,3,P_INT_SAFETY_002,제어 장벽 함수 안전필터 실패,(유지),카드 유지,P_INT_SAFETY,제어 장벽 함수 안전필터 실패의 현재 위해 기제를 유지,KEEP_CONFIRMED; P_INT_SAFETY_002 [P_INT_SAFETY] 제어 장벽 함수 안전필터 실패,PASS,없음,없음,명시적 유지 요청에 따라 카드와 L3를 유지했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
136,Physical,4,P_INT_SAFETY_003,인간-AI 공존 실패,(유지),카드 유지,P_INT_SAFETY,인간-AI 공존 실패의 현재 위해 기제를 유지,KEEP_CONFIRMED; P_INT_SAFETY_003 [P_INT_SAFETY] 인간-AI 공존 실패,PASS,없음,없음,명시적 유지 요청에 따라 카드와 L3를 유지했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
137,Physical,5,P_INT_SAFETY_004,로봇의 충돌 회피·운행구역 통제 실패,(유지),카드 유지,P_INT_SAFETY,로봇의 충돌 회피·운행구역 통제 실패의 현재 위해 기제를 유지,KEEP_CONFIRMED; P_INT_SAFETY_004 [P_INT_SAFETY] 로봇의 충돌 회피·운행구역 통제 실패,PASS,없음,없음,명시적 유지 요청에 따라 카드와 L3를 유지했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
138,Physical,6,P_INT_SAFETY_005,물리적 위험의 감지·예측 실패,(유지),카드 유지,P_INT_SAFETY,물리적 위험의 감지·예측 실패의 현재 위해 기제를 유지,KEEP_CONFIRMED; P_INT_SAFETY_005 [P_INT_SAFETY] 물리적 위험의 감지·예측 실패,PASS,없음,없음,명시적 유지 요청에 따라 카드와 L3를 유지했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
139,Physical,7,P_INT_SAFETY_006,희귀 가정 상해의 전조 감지 실패,가정용 에이전트 용어를 일반적인 용어로 변경. 예를 들면 '로봇' 또는 '체화형 AI 에이전트' 또는 '체화형 에이전트',명칭·정의·용어를 지시대로 수정,P_INT_SAFETY,기존 위해 의미를 유지한 채 표현을 정제,EXPERT_REWRITE_APPLIED; P_INT_SAFETY_025 [P_INT_SAFETY] 가정용 로봇과의 상호작용 안전 실패; 편집명세 REWRITE:P_INT_SAFETY:가정용 로봇과의 상호작용 안전 실패,PASS,없음,없음,요청된 명칭·정의·용어 정제를 위해 의미 경계를 유지하며 재작성했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
140,Physical,8,P_INT_SAFETY_007,구현체별 역할·권한 제약 집행 실패,(유지),카드 유지,P_INT_SAFETY,구현체별 역할·권한 제약 집행 실패의 현재 위해 기제를 유지,KEEP_CONFIRMED; P_INT_SAFETY_006 [P_INT_SAFETY] 구현체별 역할·권한 제약 집행 실패,PASS,없음,없음,명시적 유지 요청에 따라 카드와 L3를 유지했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
141,Physical,9,P_INT_SAFETY_008,인간-로봇 상호 행동 모델링 미흡,(유지),카드 유지,P_INT_SAFETY,인간-로봇 상호 행동 모델링 미흡의 현재 위해 기제를 유지,KEEP_CONFIRMED; P_INT_SAFETY_007 [P_INT_SAFETY] 인간-로봇 상호 행동 모델링 미흡,PASS,없음,없음,명시적 유지 요청에 따라 카드와 L3를 유지했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
142,Physical,10,P_INT_SAFETY_009,위험 지시 거부 실패,(유지),카드 유지,P_INT_SAFETY,위험 지시 거부 실패의 현재 위해 기제를 유지,KEEP_CONFIRMED; P_INT_SAFETY_008 [P_INT_SAFETY] 위험 지시 거부 실패,PASS,없음,없음,명시적 유지 요청에 따라 카드와 L3를 유지했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
143,Physical,11,P_INT_SAFETY_010,안전 규칙의 행동 변환 실패,한국어 리스크 정의 용어의 일관성 유지. 체화형 에이전트 또는 embodied 에이전트,명칭·정의·용어를 지시대로 수정,P_INT_SAFETY,기존 위해 의미를 유지한 채 표현을 정제,EXPERT_REWRITE_APPLIED; P_INT_SAFETY_026 [P_INT_SAFETY] 체화형 AI의 인간 상호작용 안전 실패; 편집명세 REWRITE:P_INT_SAFETY:체화형 AI의 인간 상호작용 안전 실패,PASS,없음,없음,요청된 명칭·정의·용어 정제를 위해 의미 경계를 유지하며 재작성했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
144,Physical,12,P_INT_SAFETY_011,장면 변화 시 인간 행동 모방 실패,"(유지) (jw) 너무 지엽적인 리스크로, 삭제 제안",카드 삭제 / 카드 유지,P_INT_SAFETY,장면 변화 시 인간 행동 모방 실패의 현재 위해 기제를 유지,KEEP_CONFIRMED_EXPERT; P_INT_SAFETY_009 [P_INT_SAFETY] 장면 변화 시 인간 행동 모방 실패,PARTIAL,검수자 충돌,검수자 충돌: 유지 의견과 삭제·이관·L3 부적합 의견이 병존,유지와 삭제 제안이 병존하며 최종은 유지됐다. 한 검수자 의견만 반영됐다.,뚜렷한 신규 문제 없음,검수자 간 합의로 유지·삭제를 확정한다.,Needs revision
145,Physical,13,P_INT_SAFETY_012,인간 접촉 안전 통제 미흡,(유지),카드 유지,P_INT_SAFETY,인간 접촉 안전 통제 미흡의 현재 위해 기제를 유지,KEEP_CONFIRMED; P_INT_SAFETY_010 [P_INT_SAFETY] 인간 접촉 안전 통제 미흡,PASS,없음,없음,명시적 유지 요청에 따라 카드와 L3를 유지했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
146,Physical,14,P_INT_SAFETY_013,배포 전 물리적 안전 시험 미흡,"(유지) (jw) 너무 지엽적인 리스크로, 삭제 제안",카드 삭제 / 카드 유지,P_INT_SAFETY,배포 전 물리적 안전 시험 미흡의 현재 위해 기제를 유지,PENDING_NOT_APPLIED; P_Others_001 [P_Others] 배포 전 물리적 안전 시험 미흡,PARTIAL,검수자 충돌·미결정,검수자 충돌: 유지 의견과 삭제·이관·L3 부적합 의견이 병존,유지와 삭제 제안이 충돌한 상태에서 Others로 이동해 어느 쪽도 확정하지 못했다.,뚜렷한 신규 문제 없음,대표 인간 검수자가 유지·삭제·Others 중 하나를 확정한다.,Needs revision
147,Physical,15,P_INT_SAFETY_014,시각 장면의 안전 판단 오류,(유지),카드 유지,P_INT_SAFETY,시각 장면의 안전 판단 오류의 현재 위해 기제를 유지,KEEP_CONFIRMED; P_INT_SAFETY_011 [P_INT_SAFETY] 시각 장면의 안전 판단 오류,PASS,없음,없음,명시적 유지 요청에 따라 카드와 L3를 유지했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
148,Physical,16,P_INT_SAFETY_015,런타임 안전 모니터 실패,"(유지) (jw) l3와 무관하며 너무 지엽적인 리스크로, 삭제 제안",카드 삭제 / 카드 유지,P_INT_SAFETY,런타임 안전 모니터 실패의 현재 위해 기제를 유지,L3_REASSIGN_APPLIED; P_SYS_CONTROL_002 [P_SYS_CONTROL] 런타임 안전 모니터 실패,PARTIAL,의도 충돌·과소반영,검수자 충돌: 유지 의견과 삭제·이관·L3 부적합 의견이 병존,유지와 삭제 제안이 충돌하며 최종 P_SYS_CONTROL 이관은 한쪽 의견도 문자적으로 완결 반영하지 않는다.,검수자가 지목한 의미 일부가 제거 또는 축소됨,대표 검수자가 유지·삭제·P_SYS_CONTROL 이관 중 하나를 확정하도록 재검토한다.,Needs revision
149,Physical,17,P_INT_SAFETY_016,안전-성능 균형 실패,"(유지) (jw) l3와 무관하며, general에 해당해보임",지목된 L3 또는 도메인으로 이관 / 카드 유지,P_INT_SAFETY,안전-성능 균형 실패의 현재 위해 기제를 유지,EXPERT_APPLY_TRANSFER_APPLIED; P_SYS_CONTROL_058 [P_SYS_CONTROL] 성능 최적화에 의한 물리 안전제약 위반; 편집명세 APPLY_TRANSFER:P_SYS_CONTROL:성능 최적화에 의한 물리 안전제약 위반,FAIL,의도충돌·의도변형,검수자 충돌: 유지 의견과 삭제·이관·L3 부적합 의견이 병존,유지 의견과 General 해당 의견이 충돌했는데 최종안은 Physical Control로 이관해 어느 의견도 직접 반영하지 않았다.,뚜렷한 신규 문제 없음,"검수자 간 합의를 통해 유지, General 이관, P_SYS_CONTROL 중 하나를 확정한다.",Needs revision
150,Physical,18,P_INT_SAFETY_017,전신 이동 충돌,(유지),카드 유지,P_INT_SAFETY,전신 이동 충돌의 현재 위해 기제를 유지,KEEP_CONFIRMED; P_INT_SAFETY_012 [P_INT_SAFETY] 전신 이동 충돌,PASS,없음,없음,명시적 유지 요청에 따라 카드와 L3를 유지했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
151,Physical,19,P_INT_TAMPER_001,로봇 인지 겨냥 적대 패치 공격,"(유지) (jw) l3와 무관하며, security에 해당해보임",지목된 L3 또는 도메인으로 이관 / 카드 유지,P_INT_TAMPER,로봇 인지 겨냥 적대 패치 공격의 현재 위해 기제를 유지,L3_REASSIGN_APPLIED; G_SYS_SECADV_043 [G_SYS_SECADV] 로봇 인지 겨냥 적대 패치 공격,PARTIAL,의도 충돌,검수자 충돌: 유지 의견과 삭제·이관·L3 부적합 의견이 병존,보안 L3 이관은 jw 의견을 반영했지만 병존한 유지 의견은 반영하지 않았다.,뚜렷한 신규 문제 없음,검수자 간 우선순위를 기록하고 유지 또는 G_SYS_SECADV 이관을 명시적으로 확정한다.,Needs revision
152,Physical,20,P_INT_TAMPER_002,자동화된 표적 스토킹·물리적 위협,(유지),카드 유지,P_INT_TAMPER,자동화된 표적 스토킹·물리적 위협의 현재 위해 기제를 유지,KEEP_CONFIRMED; P_INT_TAMPER_001 [P_INT_TAMPER] 자동화된 표적 스토킹·물리적 위협,PASS,없음,없음,명시적 유지 요청에 따라 카드와 L3를 유지했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
153,Physical,21,P_INT_TAMPER_003,핵심 인프라 로봇 사이버 사보타주,(유지),카드 유지,P_INT_TAMPER,핵심 인프라 로봇 사이버 사보타주의 현재 위해 기제를 유지,KEEP_CONFIRMED; P_INT_TAMPER_002 [P_INT_TAMPER] 핵심 인프라 로봇 사이버 사보타주,PASS,없음,없음,명시적 유지 요청에 따라 카드와 L3를 유지했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
154,Physical,22,P_INT_TAMPER_004,피지컬 AI의 파괴·학대 행동,(유지) (jw) 사람이 아닌 물리적 대상에 대한 내용이라는 것이 title에 나타나야할 것 같습니다.,명칭·정의·용어를 지시대로 수정 / 카드 유지,P_INT_TAMPER,기존 위해 의미를 유지한 채 표현을 정제,EXPERT_SPLIT_APPLIED; G_INT_WEAP_022 [G_INT_WEAP] AI·로봇 역량의 파괴적 무기화 || G_INT_VIOL_012 [G_INT_VIOL] 로봇을 이용한 위협·괴롭힘 지원; 편집명세 SPLIT:G_INT_WEAP:AI·로봇 역량의 파괴적 무기화 || SPLIT:G_INT_VIOL:로봇을 이용한 위협·괴롭힘 지원,FAIL,의도변형·범위확장,없음,유지와 비인간 물리대상 title 명시 요청을 General의 Weaponization·Violence 두 카드로 바꿨다.,원문에 없던 피해 또는 보호대상 의미가 추가됨,"원 L3 유지 후 비인간 물리대상임을 title에 명시하거나, 재분류안에 대해 인간 재승인을 받는다.",Needs revision
155,Physical,23,P_INT_TAMPER_005,불법·유해 물리 요청의 수용·실행,(유지),카드 유지,P_INT_TAMPER,불법·유해 물리 요청의 수용·실행의 현재 위해 기제를 유지,KEEP_CONFIRMED; P_INT_TAMPER_003 [P_INT_TAMPER] 불법·유해 물리 요청의 수용·실행,PASS,없음,없음,명시적 유지 요청에 따라 카드와 L3를 유지했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
156,Physical,24,P_INT_TAMPER_006,로봇 군집 하이재킹,(유지),카드 유지,P_INT_TAMPER,로봇 군집 하이재킹의 현재 위해 기제를 유지,KEEP_CONFIRMED; P_INT_TAMPER_004 [P_INT_TAMPER] 로봇 군집 하이재킹,PASS,없음,없음,명시적 유지 요청에 따라 카드와 L3를 유지했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
157,Physical,25,P_INT_TAMPER_007,유해 행동 재구성 공격,(유지),카드 유지,P_INT_TAMPER,유해 행동 재구성 공격의 현재 위해 기제를 유지,KEEP_CONFIRMED; P_INT_TAMPER_005 [P_INT_TAMPER] 유해 행동 재구성 공격,PASS,없음,없음,명시적 유지 요청에 따라 카드와 L3를 유지했다.,용어·띄어쓰기 정제 필요,수정 불필요.,Needs revision
158,Physical,26,P_INT_TAMPER_008,모델 절취·변조,"General 영역으로 이동, 적합한 L3와 매핑할 것",검수 의견에 적힌 의미·범위 조정,P_INT_TAMPER,모델 절취·변조의 현재 위해 기제를 유지,L3_REASSIGN_APPLIED; G_Others_142 [G_Others] 모델 절취·변조,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
159,Physical,27,P_INT_TAMPER_009,인지-행동 순서 조작 공격,(유지),카드 유지,P_INT_TAMPER,인지-행동 순서 조작 공격의 현재 위해 기제를 유지,KEEP_CONFIRMED; P_INT_TAMPER_006 [P_INT_TAMPER] 인지-행동 순서 조작 공격,PASS,없음,없음,명시적 유지 요청에 따라 카드와 L3를 유지했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
160,Physical,28,P_INT_TAMPER_010,장면 의미 조작 공격,(유지),카드 유지,P_INT_TAMPER,장면 의미 조작 공격의 현재 위해 기제를 유지,KEEP_CONFIRMED; P_INT_TAMPER_007 [P_INT_TAMPER] 장면 의미 조작 공격,PASS,없음,없음,명시적 유지 요청에 따라 카드와 L3를 유지했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
161,Physical,29,P_INT_TAMPER_011,로봇 능력의 무기화,"의미는 맞으나, 띄어쓰기 등 문장을 정제시킬 것",명칭·정의·용어를 지시대로 수정,P_INT_TAMPER,기존 위해 의미를 유지한 채 표현을 정제,EXPERT_APPLY_TRANSFER_APPLIED; G_INT_WEAP_023 [G_INT_WEAP] 로봇 역량의 감시·위협·공격 전용; 편집명세 APPLY_TRANSFER:G_INT_WEAP:로봇 역량의 감시·위협·공격 전용,FAIL,의도변형·범위이동,없음,검수자는 의미 유지와 문장·띄어쓰기 정제만 요청했으나 최종안은 General Weaponization으로 L3를 변경했다.,뚜렷한 신규 문제 없음,원 L3에서 문장만 정제하거나 L3 변경에 대해 인간 재승인을 받는다.,Needs revision
162,Physical,30,P_Others_001,휴머노이드 안전 시험·인증·집행 체계 부재,L3 하드웨어/기계 무결성 결함으로 분류,검수 의견에 적힌 의미·범위 조정,P_Others,휴머노이드 안전 시험·인증·집행 체계 부재의 현재 위해 기제를 유지,L3_REASSIGN_APPLIED; P_SYS_HARDWARE_001 [P_SYS_HARDWARE] 휴머노이드 안전 시험·인증·집행 체계 부재,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
163,Physical,31,P_Others_002,상위 안전 지시의 해석 불명확,L3 안전하지 않은 물리 제어 구동으로 분류,검수 의견에 적힌 의미·범위 조정,P_Others,상위 안전 지시의 해석 불명확의 현재 위해 기제를 유지,L3_REASSIGN_APPLIED; P_SYS_CONTROL_003 [P_SYS_CONTROL] 상위 안전 지시의 해석 불명확,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
164,Physical,32,P_Others_003,클라우드 오프로드 의존 실패,L3 안전하지 않은 물리 제어 구동으로 분류,검수 의견에 적힌 의미·범위 조정,P_Others,클라우드 오프로드 의존 실패의 현재 위해 기제를 유지,L3_REASSIGN_APPLIED; P_SYS_CONTROL_004 [P_SYS_CONTROL] 클라우드 오프로드 의존 실패,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
165,Physical,33,P_Others_004,명령의 구현체별 하드웨어 한계 초과,L3 안전하지 않은 물리 제어 구동으로 분류,검수 의견에 적힌 의미·범위 조정,P_Others,명령의 구현체별 하드웨어 한계 초과의 현재 위해 기제를 유지,L3_REASSIGN_APPLIED; P_SYS_CONTROL_005 [P_SYS_CONTROL] 명령의 구현체별 하드웨어 한계 초과,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
166,Physical,35,P_Others_006,단일 로봇 내부의 시각·접촉 신호 충돌,L3 안전하지 않은 물리 제어 구동으로 분류,검수 의견에 적힌 의미·범위 조정,P_Others,단일 로봇 내부의 시각·접촉 신호 충돌의 현재 위해 기제를 유지,L3_REASSIGN_APPLIED; P_SYS_CONTROL_006 [P_SYS_CONTROL] 단일 로봇 내부의 시각·접촉 신호 충돌,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
167,Physical,36,P_Others_007,인구집단별 피지컬 서비스·안전 격차,L3 인간-로봇 물리 안전 실패로 분류,검수 의견에 적힌 의미·범위 조정,P_Others,인구집단별 피지컬 서비스·안전 격차의 현재 위해 기제를 유지,L3_REASSIGN_APPLIED; P_INT_SAFETY_013 [P_INT_SAFETY] 인구집단별 피지컬 서비스·안전 격차,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
168,Physical,37,P_Others_008,피지컬AI 시스템 설계 단계 명세 오류,L4 리스크명 수정했음 (피지컬AI 시스템 용어 추가),명칭·정의·용어를 지시대로 수정,P_Others,기존 위해 의미를 유지한 채 표현을 정제,TEXT_EDIT_APPLIED; P_Others_003 [P_Others] 피지컬AI 시스템 설계 단계 명세 오류,PASS,없음,없음,검수자가 직접 수정한 명칭을 최종 카드에 반영했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
169,Physical,38,P_Others_009,물리 운용 환경 분포 이동,L3 안전하지 않은 물리 제어 구동으로 분류,검수 의견에 적힌 의미·범위 조정,P_Others,물리 운용 환경 분포 이동의 현재 위해 기제를 유지,L3_REASSIGN_APPLIED; P_SYS_CONTROL_007 [P_SYS_CONTROL] 물리 운용 환경 분포 이동,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
170,Physical,39,P_Others_010,현실과 괴리된 합성 학습 데이터의 평가·검증 실패,L4 물리 상태 추정 센서 융합 실패로 분류,검수 의견에 적힌 의미·범위 조정,P_Others,현실과 괴리된 합성 학습 데이터의 평가·검증 실패의 현재 위해 기제를 유지,L3_REASSIGN_APPLIED; P_SYS_STATE_001 [P_SYS_STATE] 현실과 괴리된 합성 학습 데이터의 평가·검증 실패,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
171,Physical,40,P_Others_011,소셜 AI의 사용자 애착 악용,L3 인간-로봇 물리 안전 실패로 분류,검수 의견에 적힌 의미·범위 조정,P_Others,소셜 AI의 사용자 애착 악용의 현재 위해 기제를 유지,L3_REASSIGN_APPLIED; P_INT_SAFETY_014 [P_INT_SAFETY] 소셜 AI의 사용자 애착 악용,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
172,Physical,41,P_Others_012,물리적 위험에 대한 적시 대응 실패,L3 안전하지 않은 물리 제어 구동으로 분류,검수 의견에 적힌 의미·범위 조정,P_Others,물리적 위험에 대한 적시 대응 실패의 현재 위해 기제를 유지,L3_REASSIGN_APPLIED; P_SYS_CONTROL_008 [P_SYS_CONTROL] 물리적 위험에 대한 적시 대응 실패,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
173,Physical,42,P_Others_013,헌법적 안전 규칙 집행 실패,L3 인간-로봇 물리 안전 실패로 분류,검수 의견에 적힌 의미·범위 조정,P_Others,헌법적 안전 규칙 집행 실패의 현재 위해 기제를 유지,L3_REASSIGN_APPLIED; P_INT_SAFETY_015 [P_INT_SAFETY] 헌법적 안전 규칙 집행 실패,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
174,Physical,43,P_Others_014,필수 돌봄·상황 보고 미이행,L3 인간-로봇 물리 안전 실패로 분류,검수 의견에 적힌 의미·범위 조정,P_Others,필수 돌봄·상황 보고 미이행의 현재 위해 기제를 유지,L3_REASSIGN_APPLIED; P_INT_SAFETY_016 [P_INT_SAFETY] 필수 돌봄·상황 보고 미이행,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
175,Physical,44,P_Others_015,가정 내 로봇 행동 안전성 평가의 위음성,L3 안전하지 않은 물리 제어 구동으로 분류,검수 의견에 적힌 의미·범위 조정,P_Others,가정 내 로봇 행동 안전성 평가의 위음성의 현재 위해 기제를 유지,L3_REASSIGN_APPLIED; P_SYS_CONTROL_009 [P_SYS_CONTROL] 가정 내 로봇 행동 안전성 평가의 위음성,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
176,Physical,45,P_Others_016,기반 모델 실패의 로봇 행동 전이,L3 안전하지 않은 물리 제어 구동으로 분류,검수 의견에 적힌 의미·범위 조정,P_Others,기반 모델 실패의 로봇 행동 전이의 현재 위해 기제를 유지,L3_REASSIGN_APPLIED; P_SYS_CONTROL_010 [P_SYS_CONTROL] 기반 모델 실패의 로봇 행동 전이,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
177,Physical,46,P_Others_017,휴머노이드 보행·조작 안정성 실패,L3 안전하지 않은 물리 제어 구동으로 분류,검수 의견에 적힌 의미·범위 조정,P_Others,휴머노이드 보행·조작 안정성 실패의 현재 위해 기제를 유지,L3_REASSIGN_APPLIED; P_SYS_CONTROL_011 [P_SYS_CONTROL] 휴머노이드 보행·조작 안정성 실패,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
178,Physical,47,P_Others_018,휴머노이드 보행 속도 초과,L3 안전하지 않은 물리 제어 구동으로 분류,검수 의견에 적힌 의미·범위 조정,P_Others,휴머노이드 보행 속도 초과의 현재 위해 기제를 유지,L3_REASSIGN_APPLIED; P_SYS_CONTROL_012 [P_SYS_CONTROL] 휴머노이드 보행 속도 초과,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
179,Physical,48,P_Others_019,부상 심각도 오분류,L3 안전하지 않은 물리 제어 구동으로 분류,검수 의견에 적힌 의미·범위 조정,P_Others,부상 심각도 오분류의 현재 위해 기제를 유지,L3_REASSIGN_APPLIED; P_SYS_CONTROL_013 [P_SYS_CONTROL] 부상 심각도 오분류,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
